timestamp,id,bearing,range_nm,velocity,threat_level,sound_types,intensity
2025-12-28T03:04:21.105193,5,-5.4,0.34,-4.7,UNKNOWN,Low Frequency Rumble,0.16
2025-12-28T03:04:21.105193,6,12.3,0.34,-0.5,UNKNOWN,Low Frequency Rumble,0.16
